133141441;41.30215;-8.698944;-0.1518252;0.7208585
133141443;41.30268;-8.698318;-0.1518143;0.7208678
133141450;41.30522;-8.696858;-0.1517888;0.7209121
133141454;41.30639;-8.696798;-0.1517878;0.7209325
133141456;41.30703;-8.69691;-0.1517897;0.7209437
133141465;41.31078;-8.699167;-0.1518291;0.7210091
133141468;41.31445;-8.701845;-0.1518759;0.7210732
133141472;41.32055;-8.706308;-0.1519537;0.7211796
133141475;41.32278;-8.707441;-0.1519735;0.7212185
133141480;41.32814;-8.7086;-0.1519937;0.7213121
133141492;41.33558;-8.711982;-0.1520528;0.721442
133141493;41.33625;-8.712136;-0.1520555;0.7214536
133141494;41.33701;-8.712205;-0.1520567;0.7214669
133141495;41.33813;-8.712299;-0.1520583;0.7214866
133141497;41.34166;-8.71266;-0.1520646;0.721548
133141498;41.34263;-8.71272;-0.1520656;0.721565
133141499;41.3433;-8.71266;-0.1520646;0.7215767
133141500;41.34396;-8.712548;-0.1520627;0.7215883
133141502;41.34491;-8.712368;-0.1520595;0.7216048
133141505;41.34701;-8.711947;-0.1520522;0.7216414
133141507;41.34774;-8.711887;-0.1520511;0.7216541
133141508;41.34846;-8.711887;-0.1520511;0.7216669
133141509;41.34964;-8.712016;-0.1520534;0.7216874
133141511;41.35165;-8.712248;-0.1520574;0.7217224
133141512;41.35389;-8.712488;-0.1520616;0.7217615
133141514;41.35477;-8.71266;-0.1520646;0.721777
133141516;41.35534;-8.71284;-0.1520678;0.7217869
133141517;41.35606;-8.713166;-0.1520734;0.7217994
133141519;41.35662;-8.713518;-0.1520796;0.7218091
133141522;41.35707;-8.713844;-0.1520853;0.721817
133141524;41.35758;-8.714282;-0.1520929;0.721826
133141527;41.35814;-8.714883;-0.1521034;0.7218358
133141528;41.35884;-8.715698;-0.1521176;0.721848
133141530;41.36231;-8.719861;-0.1521903;0.7219085
133141532;41.36315;-8.720874;-0.152208;0.7219231
133141537;41.36588;-8.722907;-0.1522435;0.7219707
133151875;41.37221;-8.724676;-0.1522743;0.7220813
133151877;41.37459;-8.725826;-0.1522944;0.7221228
133151878;41.37806;-8.727648;-0.1523262;0.7221833
133151879;41.37898;-8.728195;-0.1523357;0.7221995
133151881;41.38004;-8.728951;-0.1523489;0.722218
133226887;41.36309;-8.721043;-0.1522109;0.7219222
133226888;41.3624;-8.720227;-0.1521967;0.7219101
133226889;41.36119;-8.718751;-0.1521709;0.721889
133226890;41.35896;-8.716081;-0.1521243;0.72185
133226891;41.35809;-8.71506;-0.1521065;0.7218348
133226893;41.35757;-8.714476;-0.1520963;0.7218257
133226895;41.35692;-8.713927;-0.1520867;0.7218145
133226897;41.35638;-8.713524;-0.1520797;0.7218049
133226898;41.35566;-8.713172;-0.1520735;0.7217924
133226899;41.35503;-8.712914;-0.152069;0.7217814
133226901;41.354;-8.71269;-0.1520651;0.7217634
250062588;41.326;-8.708415;-0.1519905;0.7212749
250063697;41.3253;-8.70806;-0.1519843;0.7212626
479365386;41.34143;-8.728031;-0.1523329;0.7215441
479365384;41.34177;-8.728057;-0.1523333;0.72155
264122070;41.37499;-8.72394;-0.1522615;0.7221298
264122066;41.37483;-8.724355;-0.1522687;0.722127
264122057;41.37413;-8.725441;-0.1522877;0.7221148
264122059;41.37437;-8.725402;-0.152287;0.722119
264122061;41.37454;-8.725247;-0.1522843;0.722122
264122063;41.37465;-8.725046;-0.1522808;0.7221238
264122068;41.37493;-8.724068;-0.1522637;0.7221287
264122086;41.37606;-8.72332;-0.1522507;0.7221484
264122081;41.37574;-8.723718;-0.1522576;0.7221429
264122767;41.37724;-8.727015;-0.1523152;0.722169
264122768;41.37745;-8.727191;-0.1523182;0.7221727
264122750;41.37641;-8.722357;-0.1522338;0.7221546
264122749;41.37658;-8.72174;-0.1522231;0.7221575
264122751;41.37626;-8.722964;-0.1522444;0.7221519
269537519;41.35297;-8.740313;-0.1525472;0.7217455
269537520;41.35319;-8.740467;-0.1525499;0.7217493
269537521;41.35331;-8.7407;-0.152554;0.7217513
269537524;41.35401;-8.741173;-0.1525622;0.7217637
269537539;41.34435;-8.736649;-0.1524833;0.7215951
269537545;41.34885;-8.738199;-0.1525103;0.7216737
269537536;41.34275;-8.735463;-0.1524626;0.7215671
