109249691;1251258435;1251258557;
109249691;1251258557;1251258463;
109249691;1251258463;1251258520;
109249691;1251258520;1251258579;
109249691;1251258579;1251258360;
109249691;1251258360;1251258421;
109249691;1251258421;1503604890;
109249691;1503604890;1251258561;
109249691;1251258561;1251258570;
109249691;1251258570;1251258560;
109249691;1251258560;1251258393;
109249691;1251258393;1251258631;
109249691;1251258631;1251258536;
109249691;1251258536;1251258492;
109249691;1251258492;1251258409;
109249691;1251258409;1251258498;
109249691;1251258498;1251258510;
109249691;1251258510;1251258592;
109249691;1251258592;1251258437;
109249691;1251258437;1251258497;
109249691;1251258497;1251258435;
118689325;1334333265;1334333254;
118689325;1334333254;1334333253;
118689325;1334333253;1334333264;
118689325;1334333264;1334333251;
118689326;1334333262;1334333255;
118689327;1334333263;1334333255;
118689329;1334333251;1334333262;
118689329;1334333262;1334333263;
118689329;1334333263;1334333259;
118689329;1334333259;1334333252;
118689329;1334333252;518299203;
118689331;1334333255;1334333260;
118689331;1334333260;3141821190;
118689331;3141821190;1334333261;
118689331;1334333261;1334333271;
118689331;1334333271;1334333266;
118689331;1334333266;1334333270;
118689331;1334333270;1334333257;
118689331;1334333257;1334333258;
118689331;1334333258;1334333256;
118689331;1334333256;518299212;
118696363;1334407623;1334407609;
118696363;1334407609;1334407611;
118696362;1334407496;1334407611;
118696362;1334407611;1334407520;
118696362;1334407520;1506396508;
118696362;1506396508;1334407630;
118696362;1334407630;1334407548;
118696365;1334407548;1334407550;
118696365;1334407550;1334407523;
118696365;1334407523;1334407605;
118696365;1334407605;1334407623;
118696370;1334407548;1334407573;
118696370;1334407573;1334407541;
118696371;1334407523;1334407600;
118696371;1334407600;1506395506;
118696371;1506395506;1334407541;
118696371;1334407541;1334407598;
118696371;1334407598;1251258433;
24347297;133151876;264122057;
24347297;264122057;1506396762;
24347297;1506396762;264122059;
24347297;264122059;264122061;
24347297;264122061;264122063;
24347297;264122063;264122064;
24347297;264122064;264122066;
24347297;264122066;3022374428;
24347297;3022374428;264122068;
24347297;264122068;264122070;
24347297;264122070;3022374427;
24347297;3022374427;264122073;
24347297;264122073;264122076;
24347297;264122076;264122078;
24347297;264122078;264122081;
24347297;264122081;264122084;
24347297;264122084;3022374424;
24347297;3022374424;3022374425;
24347297;3022374425;3022374426;
24347297;3022374426;264122086;
28608853;1809472087;3021468273;
28608853;3021468273;3021468277;
28608853;3021468277;1809472092;
28608853;1809472092;3021468278;
28608853;3021468278;3021468274;
28608853;3021468274;314404884;
28608853;314404884;3021468279;
28608853;3021468279;3021468284;
28608853;3021468284;3021468282;
28608853;3021468282;314404906;
28608951;314405937;314405938;
28608951;314405938;314405940;
28610292;314443028;518288225;
28610292;518288225;518288227;
28610292;518288227;518291606;
28610292;518291606;314418614;
28610292;314418614;314443057;
28612913;314443057;893522753;
28612913;893522753;314443055;
28612914;314405950;314405989;
28612914;314405989;1809455553;
30691817;277309555;339399022;
30691817;339399022;1500590887;
30691817;1500590887;339399024;
30691817;339399024;1500590886;
30691817;1500590886;339399027;
30691817;339399027;1500590885;
30691817;1500590885;1500590884;
30691817;1500590884;339399031;
30691817;339399031;339399032;
30691817;339399032;339399033;
30691817;339399033;1500590879;
30691817;1500590879;339399034;
30691817;339399034;339398904;
